"Código Liquidação";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Liquidado (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"513181579042025NS062485";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"151,80";"0,00";"0,00";"0,00"
"513181579042025NS062494";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"151,80";"0,00";"0,00";"0,00"
"513181579042025NS062496";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"797,90";"0,00";"0,00";"0,00"
"513181579042025NS062502";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"455,40";"0,00";"0,00";"0,00"
"513181579042025NS062503";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"37,95";"0,00";"0,00";"0,00"
"513181579042025NS062507";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"455,40";"0,00";"0,00";"0,00"
"513181579042025NS062512";"513181579042025NE700002";"33909104";"DEPOSITOS JUDICIAIS";"500,94";"0,00";"0,00";"0,00"
"513181579042025NS062516";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"274,12";"0,00";"0,00";"0,00"
"513181579042025NS062521";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"644,50";"0,00";"0,00";"0,00"
"513181579042025NS062536";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"60,72";"0,00";"0,00";"0,00"
"513181579042025NS062541";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"709,95";"0,00";"0,00";"0,00"
"513181579042025NS062544";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"1045,67";"0,00";"0,00";"0,00"
"513181579042025NS062548";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"734,40";"0,00";"0,00";"0,00"
"513181579042025NS062550";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"175,29";"0,00";"0,00";"0,00"
"513181579042025NS062553";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"276,08";"0,00";"0,00";"0,00"
"513181579042025NS062554";"513181579042025NE700002";"33909104";"DEPOSITOS JUDICIAIS";"151,80";"0,00";"0,00";"0,00"
"513181579042025NS062565";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"303,60";"0,00";"0,00";"0,00"
"513181579042025NS062568";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"672,85";"0,00";"0,00";"0,00"
"513181579042025NS062571";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"303,60";"0,00";"0,00";"0,00"
"513181579042025NS062574";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"1062,00";"0,00";"0,00";"0,00"
"810005000012025NS002596";"810005000012025NE000074";"33903959";"SERVICOS DE AUDIO, VIDEO E FOTO";"2804,71";"0,00";"0,00";"0,00"
