ano_orcamento,tipo_entidade,entidade,qtd_processos,valor_alimentar,valor_desapropriacao,valor_outras,valor_total,status_pagamento,data_publicacao_moc,codigo_comunicado,codigo_filefetch,fonte,fonte_url
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE COTIA,111,5084081.71,0.00,5604312.22,10688393.93,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CRAVINHOS,4,659081.56,0.00,19626.50,678708.06,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CRISTAIS PAULISTA,3,180068.79,0.00,1545607.86,1725676.65,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CRUZEIRO,38,1507474.33,0.00,1281377.56,2788851.89,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CUBATÃO,211,30277539.91,10244286.70,84276193.56,124798020.17,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CUNHA,1,0.00,0.00,291569.28,291569.28,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE DESCALVADO,10,535824.50,0.00,499018.40,1034842.90,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE DIADEMA,71,6026134.29,1131681.90,16798575.10,23956391.29,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE DIRCE REIS,3,412066.80,0.00,0.00,412066.80,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE DIVINOLÂNDIA,18,795036.52,0.00,118093.94,913130.46,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
